iter	Passed	Remaining
947	4386	240
948	4391	236
949	4395	231
950	4400	226
951	4404	222
952	4409	217
953	4415	212
954	4420	208
955	4424	203
956	4428	198
957	4433	194
958	4437	189
959	4441	185
960	4446	180
961	4450	175
962	4454	171
963	4458	166
964	4464	161
965	4468	157
966	4472	152
967	4476	147
968	4481	143
969	4485	138
970	4489	134
971	4495	129
972	4500	124
973	4504	120
974	4509	115
975	4515	111
976	4520	106
977	4526	101
978	4530	97
979	4534	92
980	4538	87
981	4544	83
982	4548	78
983	4552	74
984	4557	69
985	4561	64
986	4565	60
987	4569	55
988	4575	50
989	4579	46
990	4583	41
991	4588	37
992	4593	32
993	4598	27
994	4601	23
995	4607	18
996	4612	13
997	4615	9
998	4619	4
999	4624	0
